"MALZE_SRR8842347"	"MALZE_SRR8842348"	"MALZE_SRR8842349"	"MALZE_SRR8842350"	"MALZE_SRR8842351"	"MALZE_SRR8842352"	"MALZE_SRR8842353"	"MALZE_SRR8842354"	"MALZE_SRR8842355"	"MALZE_SRR8842356"	"MALZE_SRR8842357"	"MALZE_SRR8842358"	"MALZE_SRR8842359"	"MALZE_SRR8842360"	"MALZE_SRR8842361"	"MALZE_SRR8842362"	"MALZE_SRR8842363"	"MALZE_SRR8842364"	"PAM_EX_SRR9312602"	"PAM_EX_SRR9312603"	"PAM_EX_SRR9312604"	"PAM_EX_SRR9312605"	"PAM_EX_SRR9312606"	"DAST_SRR8837415"	"MIODUCHOWSKA2021_1aHe_S13_L001"	"MIODUCHOWSKA2021_2cHe_S12_L001"	"MIODUCHOWSKA2021_5aPar_S9_L001"	"MIODUCHOWSKA2021_6aBT_S8_L001"	"MIODUCHOWSKA2021_7aMac_S7_L001"	"MIODUCHOWSKA2021_ANT7N_1_S2_L001"	"MIODUCHOWSKA2021_ANT7N_6eg_S1_L001"	"MIODUCHOWSKA2021_SC_16S_S19_L001"
																															
"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"1.MUSSELS"	"3.PAM"	"3.PAM"	"3.PAM"	"3.PAM"	"3.PAM"	"2.DAST"	"4.M2021"	"4.M2021"	"4.M2021"	"4.M2021"	"4.M2021"	"4.M2021"	"4.M2021"	"4.M2021"
"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"rotifers"	"rotifers"	"rotifers"	"pam"	"pam"	"dast"	"Hypsibius exemplaris (1aHe)"	"Hypsibius exemplaris (2cHe)"	"Paramacrobiotus sp. (5aPar)"	"Paramacrobiotus sp. (6aBT)"	"Macrobiotus polypiformis (7aMac) "	"Paramacrobiotus fairbanksi (ANT7_1)"	"Paramacrobiotus fairbanksi, 6 eggs (ANT7N_6eg) "	"Streptocephalus cafer (SC)"
																															
																															
																															
																															
																															
																															
"SRR8842347"	"SRR8842348"	"SRR8842349"	"SRR8842350"	"SRR8842351"	"SRR8842352"	"SRR8842353"	"SRR8842354"	"SRR8842355"	"SRR8842356"	"SRR8842357"	"SRR8842358"	"SRR8842359"	"SRR8842360"	"SRR8842361"	"SRR8842362"	"SRR8842363"	"SRR8842364"	"SRR9312602"	"SRR9312603"	"SRR9312604"	"SRR9312605"	"SRR9312606"	"SRR8837415"								
"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"Unio crassus gut"	"rotifers’ medium"	"rotifers’ medium (centrifuged)"	"15 rotifers"	"Paramacrobiorus experimentalis (MAD-TAR9a)"	"Paramacrobiorus experimentalis (MAD-TAR11a)"	"Dastychius improvisus"	"Hypsibius exemplaris (1aHe)"	"Hypsibius exemplaris (2cHe)"	"Paramacrobiotus sp. (5aPar)"	"Paramacrobiotus sp. (6aBT)"	"Macrobiotus polypiformis (7aMac) "	"Paramacrobiotus fairbanksi (ANT7_1)"	"Paramacrobiotus fairbanksi, 6 eggs (ANT7N_6eg) "	"Streptocephalus cafer (SC)"
